iter	Passed	Remaining
628	10516	6202
629	10533	6186
630	10548	6168
631	10564	6151
632	10580	6134
633	10597	6117
634	10613	6100
635	10631	6084
636	10646	6066
637	10660	6048
638	10677	6032
639	10694	6015
640	10710	5998
641	10728	5982
642	10742	5964
643	10758	5947
644	10774	5930
645	10790	5913
646	10808	5897
647	10824	5880
648	10840	5862
649	10856	5845
650	10870	5827
651	10884	5809
652	10902	5793
653	10917	5776
654	10936	5760
655	10952	5743
656	10967	5726
657	10984	5709
658	11002	5693
659	11017	5675
660	11034	5659
661	11049	5641
662	11063	5623
663	11078	5606
664	11092	5587
665	11108	5570
666	11124	5553
667	11139	5536
668	11157	5520
669	11171	5502
670	11188	5485
671	11201	5467
672	11216	5450
673	11232	5433
674	11248	5416
675	11261	5397
676	11277	5380
677	11290	5362
678	11309	5346
679	11326	5330
680	11344	5313
681	11360	5297
682	11375	5279
683	11394	5263
684	11410	5247
685	11426	5230
686	11443	5213
687	11459	5196
688	11475	5179
689	11493	5163
690	11508	5146
691	11523	5128
692	11539	5111
693	11555	5094
694	11573	5078
695	11586	5060
696	11603	5044
697	11619	5027
698	11635	5010
699	11651	4993
700	11668	4977
701	11684	4960
702	11699	4942
703	11714	4925
704	11729	4908
705	11755	4895
706	11774	4879
707	11790	4862
708	11808	4846
709	11824	4829
710	11841	4813
711	11856	4795
712	11872	4779
713	11889	4762
714	11905	4745
715	11922	4729
716	11943	4714
717	11959	4697
718	11978	4681
719	11994	4664
720	12010	4647
721	12027	4631
722	12042	4613
723	12056	4596
724	12073	4579
725	12091	4563
726	12107	4546
727	12121	4528
728	12137	4511
729	12153	4495
730	12168	4478
731	12184	4460
732	12201	4444
733	12218	4428
734	12233	4410
735	12249	4393
736	12264	4376
737	12278	4359
738	12296	4343
739	12311	4325
740	12325	4308
741	12340	4290
742	12356	4274
743	12371	4256
744	12387	4240
745	12404	4223
746	12419	4206
747	12437	4190
748	12452	4172
749	12469	4156
750	12485	4139
751	12505	4124
752	12521	4107
753	12538	4090
754	12557	4074
755	12575	4058
756	12587	4040
757	12607	4024
758	12624	4008
759	12637	3990
760	12654	3974
761	12670	3957
762	12685	3940
763	12703	3924
764	12720	3907
765	12736	3890
766	12752	3874
767	12768	3857
768	12784	3840
769	12798	3822
770	12817	3807
771	12832	3789
772	12847	3772
773	12862	3755
774	12879	3739
775	12896	3722
776	12915	3706
777	12930	3689
778	12946	3672
779	12962	3656
780	12979	3639
781	12997	3623
782	13014	3606
783	13030	3590
784	13046	3573
785	13062	3556
786	13080	3540
787	13095	3523
788	13110	3506
789	13125	3489
790	13141	3472
791	13160	3456
792	13177	3439
793	13192	3422
794	13209	3406
795	13224	3389
796	13242	3373
797	13258	3356
798	13274	3339
799	13291	3322
800	13311	3307
801	13325	3289
802	13343	3273
803	13360	3256
804	13376	3240
805	13394	3224
806	13410	3207
807	13426	3190
808	13441	3173
809	13460	3157
810	13475	3140
811	13491	3123
812	13505	3106
813	13522	3089
814	13539	3073
815	13554	3056
816	13570	3039
817	13585	3022
818	13600	3005
819	13616	2989
820	13631	2972
821	13646	2955
822	13662	2938
823	13679	2921
824	13691	2904
825	13707	2887
826	13721	2870
827	13738	2853
828	13754	2837
829	13770	2820
830	13786	2803
831	13803	2787
832	13820	2770
833	13836	2754
834	13855	2737
835	13872	2721
836	13890	2705
837	13908	2688
838	13922	2671
839	13940	2655
840	13955	2638
841	13970	2621
842	13987	2604
843	14002	2588
844	14019	2571
845	14035	2554
846	14051	2538
847	14067	2521
848	14086	2505
849	14101	2488
850	14118	2471
851	14133	2455
852	14149	2438
853	14165	2421
